Year,CO2_coal,CO2_oil,CO2_gas,CO2_cement,CO2_total,Szenario
2018,4605.463047616002,863.0626972500003,164.0380968893331,447.6371850720001,6080.201026827335,BAU
2019,4553.881861482702,895.4275483968754,182.11509516653763,448.3981682866225,6079.822673332737,BAU
2020,4502.878384634096,929.0060814617583,202.1841786538901,449.16044517270973,6083.229089922454,BAU
2021,4452.446146726194,963.8438095165743,224.4648751415488,449.92401792950335,6090.67884931382,BAU
2022,4402.57874988286,999.987952373446,249.20090438214748,450.6888887599835,6102.456495398437,BAU
2023,4353.2698678841725,1037.4875005874503,276.6628440450602,451.4550598708755,6118.875272387559,BAU
2024,4304.51324536387,1076.3932818594799,307.1510894588258,452.22253347265604,6140.280150154831,BAU
2025,4256.302697015794,1116.7580299292106,340.99913951718844,452.99131177955957,6167.0511782417525,BAU
2026,4208.6321068092175,1158.636456051556,378.5772446919826,453.7613970095848,6199.6072045623405,BAU
2027,4161.495427212954,1202.0853231534895,420.29645705703916,454.53279138450114,6238.409998807984,BAU
2028,4114.886678428169,1247.1635227717454,466.6131266247249,455.3054971298548,6283.968824954494,BAU
2029,4068.7999476297737,1293.932154875686,518.0338931787696,456.0795164749756,6336.845512159204,BAU
2030,4023.2293882163203,1342.4546106835242,575.1212282070701,456.8548516529831,6397.660078759897,BAU
2031,3978.1692190682975,1392.7966585841564,638.4995875554893,457.6315049007932,6467.096970108737,BAU
2032,3933.6137238147326,1445.0265332810623,708.8622421041042,458.40947845912456,6545.911977659023,BAU
2033,3889.557250108008,1499.2150282791022,786.9788611839765,459.1887745725051,6634.939914143592,BAU
2034,3845.994208906798,1555.4355918395686,873.7039316864508,459.9693954892784,6735.103127922096,BAU
2035,3802.919073767042,1613.7644265335525,969.9861049582978,460.7513434616102,6847.420948720503,BAU
2036,3760.326380140851,1674.2805925285609,1076.8785737247024,461.5346207454949,6973.02016713961,BAU
2037,3718.210724683274,1737.066114748382,1195.5505925491648,462.3192296007623,7113.1466615815825,BAU
2038,3676.5667645668213,1802.2060940514466,1327.3002678480827,463.1051722910836,7269.178298757433,BAU
2039,3635.389216803673,1869.788822578376,1473.5687573649416,463.8924510839785,7442.63924783097,BAU
2040,3594.6728575754723,1939.9059034250654,1635.9560344265583,464.6810682508212,7635.215863677917,BAU
2041,3554.412521570627,2012.6523748035056,1816.2383894203651,465.4710260668476,7848.774311861346,BAU
2042,3514.6031013290362,2088.1268388586373,2016.3878599344896,466.2623268111613,8085.380126933324,BAU
2043,3475.239546594151,2166.431595315836,2238.5938020992703,467.0549727667403,8347.319916775998,BAU
2044,3436.316863672296,2247.6727801401803,2485.28683909061,467.8489662204438,8637.12544912353,BAU
2045,3397.8301147991665,2331.9605093954374,2759.1654487583955,468.64430946301854,8957.600382416018,BAU
2046,3359.7744175134158,2419.4090284977665,3063.225481211571,469.4410047891057,9311.849932011859,BAU
2047,3322.1449440372658,2510.136867066433,3400.7929292410863,470.2390544972472,9703.313794842034,BAU
2048,3284.9369206640486,2604.2669995814244,3775.560310043454,471.0384608898925,10135.80269117882,BAU
2049,3248.1456271526113,2701.927012065728,4191.627056210243,471.83922627340536,10613.538921701987,BAU
2050,3211.766396128502,2803.2492750181927,4653.5443578046115,472.6413529580702,11141.201381909375,BAU
2018,4513.353786663682,863.0626972500003,164.0380968893331,447.6371850720001,5988.091765875015,Maßnahmen
2019,4373.548139767987,895.4275483968754,182.11509516653763,448.3981682866225,5899.488951618023,Maßnahmen
2020,4238.073112590534,929.0060814617583,202.1841786538901,449.16044517270973,5818.423817878892,Maßnahmen
2021,4106.7945598549295,963.8438095165743,224.4648751415488,449.92401792950335,5745.027262442555,Maßnahmen
2022,3979.582491568863,999.987952373446,249.20090438214748,450.6888887599835,5679.4602370844395,Maßnahmen
2023,3856.310944310026,1037.4875005874503,276.6628440450602,451.4550598708755,5621.916348813413,Maßnahmen
2024,3736.857856499079,1076.3932818594799,307.1510894588258,452.22253347265604,5572.624761290041,Maßnahmen
2025,3621.1049475361633,1100.0066594802724,340.99913951718844,449.96142080529273,5512.072167338916,Maßnahmen
2026,3508.937600681283,1124.1380555726212,378.5772446919826,447.7116137012663,5459.364514647154,Maßnahmen
2027,3400.2447495625797,1148.7988341667456,420.29645705703916,445.47305563275995,5414.813096419124,Maßnahmen
2028,3294.9187682001293,1174.0006085912787,466.6131266247249,443.24569035459615,5378.778193770729,Maßnahmen
2029,3192.8553644363624,1199.7552469422499,518.0338931787696,441.0294619028232,5351.673966460205,Maßnahmen
2030,3093.9534766675815,1226.0748776720457,520.6240626446635,438.82431459330905,5279.4767315776,Maßnahmen
2031,2998.1151737743266,1252.9718953009763,523.2271829578867,436.6301930203425,5210.944445053532,Maßnahmen
2032,2905.2455581514932,1280.4589662541416,525.8433188726762,434.4470420552408,5145.994885333552,Maßnahmen
2033,2815.2526717421924,1308.5490348263418,528.4725354670395,432.2748068449646,5084.549048880538,Maßnahmen
2034,2728.047404982306,1337.2553292778448,531.1148981443746,430.11343281073977,5026.531065215266,Maßnahmen
2035,2643.5434085655743,1366.5913680638778,533.7704726350964,427.96286564668605,4971.868114911234,Maßnahmen
2036,2561.657007941847,1396.5709662007791,536.4393249982719,425.8230513184526,4920.490350459351,Maßnahmen
2037,2482.3071204638404,1427.2082417718088,539.1215216232632,423.6939360618603,4872.330819920773,Maßnahmen
2038,2405.4151751003524,1458.517622575678,541.8171292313795,421.575466381551,4827.32539328896,Maßnahmen
2039,2330.905034636444,1490.5138529209319,544.5262148775363,419.46758904964327,4785.412691484555,Maßnahmen
2040,2258.7029202835456,1523.2120005693848,547.248845951924,417.37025110439504,4746.534017909249,Maßnahmen
2041,2188.737338624843,1556.627463831876,549.9850901816835,415.28339984887305,4710.633292487275,Maßnahmen
2042,2120.9390108236,1590.7759788196877,552.7350156325919,413.2069828496287,4677.656988125508,Maßnahmen
2043,2055.2408040243276,1625.6736268550446,555.4986907107548,411.14094793538055,4647.554069525508,Maßnahmen
2044,1991.57766487887,1661.3368420441773,558.2761841643085,409.08524319570364,4620.2759342830595,Maßnahmen
2045,1929.8865551315823,1697.7824190165215,561.0675650851299,407.0398169797251,4595.776356212959,Maßnahmen
2046,1870.1063891998265,1735.0275208336966,563.8729029105555,405.0046178948265,4574.011430838906,Maßnahmen
2047,1812.1779736879728,1773.089687071986,566.6922674251082,402.97959480535235,4554.939522990419,Maßnahmen
2048,1756.0439487750143,1811.9868420821276,569.5257287622337,400.96469683132557,4538.521216450701,Maßnahmen
2049,1701.6487314177593,1851.7373034303046,572.3733574060449,398.9598733471689,4524.719265601278,Maßnahmen
2050,1648.9384603133628,1892.359790524307,575.235224193075,396.9650739804331,4513.498549011178,Maßnahmen
